Date,Stock,label,Predicted,prob_down,prob_up,Confidence,window_id,fit_start,fit_end,Return_1d
2026-03-20,BAJAJFINSV,1,1,0.33173126,0.66826874,0.66826874,14,2020-02-12,2026-02-24,-0.0026823578753573
2026-03-20,BAJFINANCE,1,1,0.25237042,0.7476296,0.7476296,14,2020-02-12,2026-02-24,-0.001982725774885
2026-03-20,BHARTIARTL,1,1,0.22791725,0.77208275,0.77208275,14,2020-02-12,2026-02-24,0.010454283298269
2026-03-20,BPCL,1,1,0.40733927,0.5926607,0.5926607,14,2020-02-12,2026-02-24,0.0062936636117787
2026-03-20,CIPLA,-1,1,0.37135535,0.62864465,0.62864465,14,2020-02-12,2026-02-24,0.0138799821819892
2026-03-20,COALINDIA,-1,1,0.4931739,0.5068261,0.5068261,14,2020-02-12,2026-02-24,0.0307133010007374
2026-03-20,DRREDDY,-1,1,0.4505235,0.5494765,0.5494765,14,2020-02-12,2026-02-24,0.0191447818078167
2026-03-20,EICHERMOT,1,1,0.24028414,0.75971586,0.75971586,14,2020-02-12,2026-02-24,0.0170764021787133
2026-03-20,GRASIM,1,1,0.25628406,0.74371594,0.74371594,14,2020-02-12,2026-02-24,0.0032210386897233
2026-03-20,HCLTECH,1,1,0.3577115,0.6422885,0.6422885,14,2020-02-12,2026-02-24,0.0166945566815355
2026-03-20,HDFCBANK,1,1,0.30971217,0.6902878,0.6902878,14,2020-02-12,2026-02-24,-0.0222375341124351
2026-03-20,HINDALCO,1,1,0.19664288,0.8033571,0.8033571,14,2020-02-12,2026-02-24,-0.0254166301802913
2026-03-20,HINDUNILVR,1,-1,0.6139252,0.38607475,0.6139252,14,2020-02-12,2026-02-24,0.0025994811615184
2026-03-20,ICICIBANK,1,1,0.18493295,0.81506705,0.81506705,14,2020-02-12,2026-02-24,-0.0037596602381118
2026-03-20,INDUSINDBK,1,1,0.39183944,0.60816056,0.60816056,14,2020-02-12,2026-02-24,0.0028175766597611
2026-03-20,INFY,1,1,0.48456347,0.51543653,0.51543653,14,2020-02-12,2026-02-24,0.0287516171216004
2026-03-20,ITC,1,1,0.22110611,0.7788939,0.7788939,14,2020-02-12,2026-02-24,0.0065436257849342
2026-03-20,JSWSTEEL,1,-1,0.5495748,0.4504252,0.5495748,14,2020-02-12,2026-02-24,0.034220488404292
2026-03-20,KOTAKBANK,1,1,0.4420334,0.5579666,0.5579666,14,2020-02-12,2026-02-24,-0.0038027812568103
2026-03-20,LT,1,1,0.24443579,0.7555642,0.7555642,14,2020-02-12,2026-02-24,8.73551327815747e-05
2026-03-20,M&M,1,1,0.22260863,0.7773914,0.7773914,14,2020-02-12,2026-02-24,0.0067972010167101
2026-03-20,MARUTI,1,1,0.4252801,0.5747199,0.5747199,14,2020-02-12,2026-02-24,0.0001587427573617
2026-03-20,NESTLEIND,1,1,0.40323532,0.5967647,0.5967647,14,2020-02-12,2026-02-24,0.006153524789132
2026-03-20,NTPC,-1,1,0.46497148,0.5350285,0.5350285,14,2020-02-12,2026-02-24,0.0184467975918811
2026-03-20,ONGC,1,-1,0.5620065,0.43799353,0.5620065,14,2020-02-12,2026-02-24,-0.0137495805392436
2026-03-20,POWERGRID,-1,-1,0.5143283,0.4856717,0.5143283,14,2020-02-12,2026-02-24,0.0030333463412748
2026-03-20,RELIANCE,-1,1,0.47308123,0.52691877,0.52691877,14,2020-02-12,2026-02-24,0.0213749094036979
2026-03-20,SUNPHARMA,-1,-1,0.51414776,0.48585224,0.51414776,14,2020-02-12,2026-02-24,0.0187456722736854
2026-03-20,TATASTEEL,1,-1,0.52021563,0.4797844,0.52021563,14,2020-02-12,2026-02-24,0.0328592197056643
2026-03-20,TCS,1,1,0.323793,0.676207,0.676207,14,2020-02-12,2026-02-24,0.0146859405325803
